wl,n,k,eps_re,eps_im
0.72657,0.12343,4.409254,-19.42628587,1.088468442
0.72816,0.121908,4.428552,-19.59721126,1.079751834
0.72975,0.125709,4.436975,-19.6709444,1.115535381
0.73134,0.125605,4.454237,-19.82445064,1.118948877
0.73292,0.125524,4.467252,-19.94058416,1.12149468
0.73451,0.128348,4.476924,-20.02637529,1.149208483
0.7361,0.127427,4.485702,-20.10528479,1.143199098
0.73769,0.125082,4.502257,-20.25467259,1.12630262
0.73928,0.126587,4.516528,-20.38300091,1.14346746
0.74086,0.128106,4.530867,-20.51234462,1.160862496
0.74245,0.125878,4.540982,-20.60467225,1.143219464
0.74404,0.124449,4.554452,-20.72754547,1.133593994
0.74562,0.126072,4.57123,-20.88024956,1.152608217
0.74721,0.128066,4.585826,-21.0133992,1.174576785
0.7488,0.124852,4.600722,-21.1510549,1.148818686
0.75039,0.124553,4.614116,-21.27455301,1.14940398
0.75197,0.124741,4.629221,-21.41412675,1.154907314
0.75356,0.12479,4.649702,-21.60415614,1.160472625
0.75515,0.125046,4.662561,-21.72383858,1.166069206
0.75673,0.125303,4.675325,-21.84296301,1.171664497
0.75832,0.125401,4.694241,-22.02017316,1.177325031
0.7599,0.125686,4.706082,-22.13141082,1.182977245
0.76149,0.125824,4.723664,-22.29716991,1.188700598
0.76308,0.125986,4.740412,-22.45563346,1.194451092
0.76466,0.126368,4.748828,-22.5353985,1.200199793
0.76625,0.126598,4.763154,-22.67160897,1.20601154
0.76783,0.126918,4.774056,-22.77550251,1.211827279
0.76942,0.127244,4.784896,-22.8790387,1.217698613
0.771,0.127509,4.797977,-23.00432475,1.223570499
0.77259,0.127798,4.81033,-23.12294238,1.229501107
0.77418,0.127894,4.83004,-23.31292953,1.235466272
0.77576,0.128305,4.837783,-23.38768218,1.241423496
0.77735,0.12874,4.844844,-23.4559394,1.247450433
0.77893,0.128997,4.858521,-23.58858608,1.253469267
0.78052,0.129195,4.874609,-23.74512155,1.25955022
0.7821,0.129415,4.889807,-23.89346426,1.265628746
0.78368,0.129748,4.900762,-24.00063364,1.271728136
0.78527,0.130175,4.908401,-24.07545485,1.2779022
0.78685,0.130431,4.922387,-24.21288153,1.284063718
0.78844,0.130519,4.942946,-24.41567995,1.290296738
0.79002,0.130784,4.956704,-24.55181009,1.296515152
0.79161,0.131183,4.965622,-24.64019287,1.302810382
0.79319,0.13144,4.979767,-24.7808029,1.309081149
0.79477,0.131585,4.998253,-24.96521844,1.315390242
0.79636,0.131774,5.015277,-25.135639,1.321766223
0.79794,0.132041,5.029222,-25.2756391,1.328127004
0.79952,0.132536,5.034569,-25.32931922,1.334523274
0.80111,0.132548,5.058485,-25.57070152,1.34098414
0.80269,0.132865,5.070697,-25.69431496,1.347436314
0.80427,0.133229,5.081126,-25.80009146,1.353906672
0.80586,0.133589,5.091968,-25.91029209,1.360461826
0.80744,0.133705,5.111968,-26.11433981,1.366991363
0.80902,0.133924,5.128098,-26.27945346,1.373550793
0.8106,0.134351,5.136323,-26.36376377,1.380140263
0.81219,0.13472,5.146968,-26.47313011,1.386799058
0.81377,0.134964,5.16229,-26.63102276,1.393446615
0.81535,0.135363,5.171711,-26.72827153,1.400116632
0.81693,0.135521,5.190372,-26.92159556,1.406808808
0.81852,0.135831,5.203467,-27.05761876,1.413584252
0.8201,0.136327,5.209306,-27.11828395,1.420338118
0.82168,0.136549,5.22564,-27.28866778,1.427111833
0.82326,0.137046,5.231545,-27.35028148,1.433924632
0.82484,0.137408,5.242645,-27.46644564,1.440762728
0.82642,0.137683,5.257099,-27.61813329,1.447626323
0.828,0.137875,5.274761,-27.80409409,1.454515346
0.82959,0.138221,5.286711,-27.93020815,1.461468962
0.83117,0.138846,5.287916,-27.94277741,1.46841197
0.83275,0.139508,5.287796,-27.94132406,1.475379689
0.83433,0.139307,5.320545,-28.28879266,1.482378325
0.83591,0.139364,5.343577,-28.53439283,1.48940453
0.83749,0.139911,5.347852,-28.57994593,1.496446642
0.83907,0.140376,5.355368,-28.66026099,1.503530277
0.84065,0.140663,5.369683,-28.81370944,1.51063144
0.84223,0.140974,5.383121,-28.95811803,1.5177602
0.84381,0.141136,5.402272,-29.16462339,1.524910122
0.84539,0.141684,5.406711,-29.21244948,1.532088883
0.84697,0.14172,5.430764,-29.47311307,1.539295748
0.84855,0.14174,5.455507,-29.7424664,1.546527124
0.85013,0.142239,5.461906,-29.81218522,1.553792095
0.85171,0.142271,5.486252,-30.07871997,1.561069117
0.85329,0.142875,5.488643,-30.10478872,1.568379737
0.85486,0.143172,5.502722,-30.25945119,1.575671428
0.85644,0.143156,5.529035,-30.54973439,1.583029069
0.85802,0.143756,5.531686,-30.57888422,1.590426105
0.8596,0.144061,5.545681,-30.73382418,1.597832701
0.86118,0.144369,5.559625,-30.88858773,1.605275003
0.86276,0.144666,5.574017,-31.04873726,1.612741487
0.86434,0.14526,5.576993,-31.08175045,1.620228006
0.86591,0.145888,5.578564,-31.09909299,1.62769109
0.86749,0.146232,5.591216,-31.24031256,1.635229396
0.86907,0.14641,5.610272,-31.45371603,1.642799847
0.87065,0.146854,5.619163,-31.55342672,1.650393126
0.87222,0.147024,5.638387,-31.76979191,1.657956421
0.8738,0.147499,5.646133,-31.8570619,1.665597943
0.87538,0.147731,5.663217,-32.05020234,1.673265421
0.87695,0.148103,5.674765,-32.18102331,1.680899442
0.87853,0.148495,5.685775,-32.30598659,1.688618317
0.88011,0.148955,5.69418,-32.40149828,1.696353164
0.88168,0.149148,5.712707,-32.61277614,1.704077647
0.88326,0.149561,5.722971,-32.73002857,1.711866531
0.88484,0.149805,5.739721,-32.92195562,1.719677809
0.88641,0.15036,5.744446,-32.97605172,1.727469801
0.88799,0.151025,5.745187,-32.98436511,1.735333733
0.88957,0.151167,5.765861,-33.22230161,1.74321582
0.89114,0.151468,5.780355,-33.38956137,1.751077622
0.89272,0.151789,5.794306,-33.55094212,1.759023827
0.89429,0.151914,5.815573,-33.79781145,1.766933913
0.89587,0.152201,5.83084,-33.97552996,1.774919358
0.89744,0.152794,5.834237,-34.01497537,1.782872816
0.89902,0.15313,5.847684,-34.17195937,1.790911702
0.90059,0.153506,5.859421,-34.30925036,1.79891256
0.90217,0.153747,5.876535,-34.51002547,1.806999253
0.90374,0.153811,5.900278,-34.78962265,1.815055319
0.90531,0.15435,5.90585,-34.8552403,1.823135895
0.90689,0.154777,5.915897,-34.97388139,1.83128958
0.90846,0.15529,5.922523,-35.0521637,1.839417193
0.91004,0.155569,5.938278,-35.23894389,1.84762394
0.91161,0.155878,5.95271,-35.41045839,1.855793059
0.91318,0.156033,5.973092,-35.65348174,1.863998928
0.91476,0.156131,5.995828,-35.92557652,1.872269243
0.91633,0.156618,6.003524,-36.01777122,1.880519844
0.9179,0.15736,6.00148,-35.99300002,1.888785786
0.91948,0.157779,6.01201,-36.11937003,1.897137852
0.92105,0.158008,6.02962,-36.33135082,1.905456394
